label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
PROCESS:Decision Branch,251,261,246,22,15,5,0.9305555555555556,0.6495071193866376,0.9425287356321839,0.9800796812749004,0.9609375
RESOURCE:Development Toolchain,54,62,49,221,13,5,0.9375,0.8059299191374664,0.7903225806451613,0.9074074074074074,0.8448275862068966
SAFETY:Vulnerability Handling,18,16,9,263,7,9,0.9444444444444444,0.5,0.5625,0.5,0.5294117647058824
OUTPUT:Repository Change,86,93,82,191,11,4,0.9479166666666666,0.8785015187310158,0.8817204301075269,0.9534883720930233,0.9162011173184358
TASK:Artifact Change,96,93,87,186,6,9,0.9479166666666666,0.8818897637795274,0.9354838709677419,0.90625,0.9206349206349206
OUTPUT:Existing Thread Response,114,110,106,170,4,8,0.9583333333333334,0.9123554473524043,0.9636363636363636,0.9298245614035088,0.9464285714285714
PROCESS:Work Delegation,26,32,23,253,9,3,0.9583333333333334,0.770212765957447,0.71875,0.8846153846153846,0.7931034482758621
OUTPUT:New Thread,120,111,110,167,1,10,0.9618055555555556,0.92057761732852,0.990990990990991,0.9166666666666666,0.9523809523809523
SAFETY:Information Confidentiality,21,16,13,264,3,8,0.9618055555555556,0.6826923076923078,0.8125,0.6190476190476191,0.7027027027027027
SAFETY:Prompt Injection Defense,27,29,24,256,5,3,0.9722222222222222,0.8417799752781211,0.8275862068965517,0.8888888888888888,0.8571428571428571
